experiment_name,n_protein,cytokine_protein,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,intraclashes_group1,intraclashes_group2,foldx_deltaG_kcalpermol,stability_group1,stability_group2
SARS-CoV-2-B.1.617.2-DeltaA-N__IFNbeta,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNbeta,4,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNbeta_124w.pdb,5,-69.46,5.81,-45.25,5.09,-242.08,13.09,3109.79,149.19,20.102,1.351,53.6,0,0,0,2199.986,13.04,237.415,15.197,-10.7,1.3E-08,28.5711,8.64258,-5.2771,275.348,-14.6689
SARS-CoV-N__CCL5,SARS-CoV-N,CCL5,9,./results/SARS-CoV-N__CCL5/run1/structures/it1/water/SARS-CoV-N__CCL5_20w.pdb,4,-93.47,7.73,-70.02,9.47,-234.44,30.08,2702.74,124.8,13.347,2.924,47,0,0,0,2219.078,47.537,166.711,14.74,-12.6,6E-10,21.5802,3.34154,-5.26904,261.403,9.51252
SARS-CoV-2-B.1.351-N__CXCL11,SARS-CoV-2-B.1.351-N,CXCL11,4,./results/SARS-CoV-2-B.1.351-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL11_6w.pdb,8,-113.86,13.62,-75.44,10.3,-384.14,79.51,2757.09,215.09,12.11,7.423,43.62,0,0,0,2714.918,208.836,135.548,26.559,-13.2,1.9E-10,36.789,3.79382,-5.2566,275.851,39.1785
SARS-CoV-2-BA.1.1-N__CXCL12alpha,SARS-CoV-2-BA.1.1-N,CXCL12alpha,6,./results/SARS-CoV-2-BA.1.1-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL12alpha_119w.pdb,4,-95.75,5.4,-74.17,8.07,-215.79,41.37,2781.98,146.74,10.244,3.06,46.5,0,0,0,2531.455,99.743,171.108,19.383,-11.9,1.9E-09,29.0829,4.63135,-5.25555,281.533,17.7348
RaTG13-N__IL-27,RaTG13-N,IL-27,3,./results/RaTG13-N__IL-27/run1/structures/it1/water/RaTG13-N__IL-27_161w.pdb,4,-103.42,5.74,-71.73,7.36,-316.88,28.68,5029.79,188.73,13.569,1.896,90.5,0,0,0,3283.483,53.506,381.438,17,-11.8,2.3E-09,29.3828,25.6747,-5.25112,265.815,27.0917
SARS-CoV-2-B.1.1-N__CCL1,SARS-CoV-2-B.1.1-N,CCL1,2,./results/SARS-CoV-2-B.1.1-N__CCL1/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL1_160w.pdb,6,-105.76,14.87,-73.2,11.8,-325.63,41.46,2954.38,142.68,0.26,2.081,48.33,0,0,0,2433.123,235.105,157.375,9.909,-11.4,4.7E-09,24.2162,7.54762,-5.24862,255.696,27.4864
SARS-CoV-2-BA.2-N__CXCL7,SARS-CoV-2-BA.2-N,CXCL7,2,./results/SARS-CoV-2-BA.2-N__CXCL7/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL7_16w.pdb,5,-89.31,9.6,-62.08,6.11,-272.31,43.83,2877.24,254.88,12.733,5.418,50.2,0,0,0,2426.696,113.955,183.918,17.126,-11.1,6.8E-09,21.2676,4.55004,-5.2403,239.381,48.7089
SARS-CoV-2-BA.1.1-N__TNFalpha,SARS-CoV-2-BA.1.1-N,TNFalpha,1,./results/SARS-CoV-2-BA.1.1-N__TNFalpha/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__TNFalpha_49w.pdb,7,-85.35,9.45,-54.44,5.9,-309.07,79.25,3174.64,250.31,27.333,3.068,56.43,0,0,0,2535.16,310.092,228.544,31.971,-11.8,2.3E-09,26.8716,10.2866,-5.21161,282.839,32.1873
SARS-CoV-2-BA.1.1-N__IL-35,SARS-CoV-2-BA.1.1-N,IL-35,1,./results/SARS-CoV-2-BA.1.1-N__IL-35/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IL-35_64w.pdb,3,-105.23,1.89,-75.38,3.35,-298.44,16.29,4526.93,136.75,24.526,2.376,82,0,0,0,2897.55,53.701,342.147,14.47,-11.1,7.6E-09,23.8157,23.5299,-5.20817,239.183,-6.26989
SARS-CoV-2-B.1.1-N__CX3CL1,SARS-CoV-2-B.1.1-N,CX3CL1,5,./results/SARS-CoV-2-B.1.1-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CX3CL1_174w.pdb,2,-93.09,7.5,-69.62,4.45,-234.74,30.58,6103.88,153.82,14.813,4.28,93,0,0,0,2843.095,187.955,508.635,9.101,-6.8,1.1E-05,22.1323,135.38,-5.17979,252.143,559.212
RaTG13-N__CCL28,RaTG13-N,CCL28,1,./results/RaTG13-N__CCL28/run1/structures/it1/water/RaTG13-N__CCL28_48w.pdb,4,-69.93,7.46,-48.62,4.46,-213.15,34.47,3073.78,110.91,-5.585,2.366,52.25,0,0,0,1773.25,100.52,210.545,16.898,-9.4,1.4E-07,25.643,7.01677,-5.12003,250.919,49.6128
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL28,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL28,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL28/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL28_149w.pdb,4,-113.82,15.17,-79.25,7.62,-345.66,83.17,3108.61,261.01,4.153,3.569,53.25,0,0,0,2870.585,240.03,166.631,36.32,-11.7,2.7E-09,25.336,7.18693,-5.11335,271.42,58.9236
SARS-CoV-2-B.1.1-N__CXCL4,SARS-CoV-2-B.1.1-N,CXCL4,7,./results/SARS-CoV-2-B.1.1-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL4_30w.pdb,4,-84.92,16.88,-68.41,11.41,-165.14,54.99,2916.33,187.29,8.122,3.948,51.5,0,0,0,2179.96,298.189,192.649,30.82,-11.1,6.9E-09,25.1316,7.21615,-5.10744,287.621,33.303
SARS-CoV-2-BA.2-N__CXCL10,SARS-CoV-2-BA.2-N,CXCL10,1,./results/SARS-CoV-2-BA.2-N__CXCL10/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL10_123w.pdb,7,-123.09,7.34,-87.38,6.16,-357.07,26.34,2991.67,183.04,23.744,1.665,49,0,0,0,2708.353,48.406,164.116,14.582,-12.6,5.3E-10,21.5192,4.29584,-5.09011,265.751,30.8126
SARS-CoV-2-XBB-N__CXCL16,SARS-CoV-2-XBB-N,CXCL16,8,./results/SARS-CoV-2-XBB-N__CXCL16/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL16_60w.pdb,2,-100.34,8.87,-79.3,9.32,-210.47,4.49,3906.78,568.75,-7.464,1.731,73.5,0,0,0,2870.44,8.16,261.822,50.183,-11.2,5.6E-09,29.5309,32.6256,-5.05588,293.166,184.805
SARS-CoV-2-P.1-N__CXCL12alpha,SARS-CoV-2-P.1-N,CXCL12alpha,3,./results/SARS-CoV-2-P.1-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL12alpha_185w.pdb,4,-95.81,5.03,-76.48,4.81,-193.32,41.34,2860.71,154.57,6.422,2.925,48.75,0,0,0,2576.412,130.21,177.35,11.154,-10.2,3.2E-08,27.7488,4.74236,-5.03954,290.868,13.8409
SARS-CoV-2-BA.1.1-N__CCL25,SARS-CoV-2-BA.1.1-N,CCL25,1,./results/SARS-CoV-2-BA.1.1-N__CCL25/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL25_188w.pdb,11,-83.55,9.34,-59.26,14.65,-242.86,86.79,3385.32,300.72,-1.116,5.613,55.73,0,0,0,2624.928,201.948,234.069,38.948,-11.5,4E-09,23.8116,23.4951,-5.03575,260.777,92.6815
SARS-CoV-2-BA.4-N__CX3CL1,SARS-CoV-2-BA.4-N,CX3CL1,4,./results/SARS-CoV-2-BA.4-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CX3CL1_10w.pdb,2,-85.26,7.15,-68.51,3.71,-167.53,34.36,5803.81,166.18,4.664,2.46,90,0,0,0,3022.33,183.99,483.031,29.665,-12,1.7E-09,26.1364,131.531,-5.03521,277.095,558.145
SARS-CoV-2-BA.1.1-N__CXCL11,SARS-CoV-2-BA.1.1-N,CXCL11,1,./results/SARS-CoV-2-BA.1.1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL11_97w.pdb,7,-102,9.51,-75.24,7.52,-267.66,52,2774.28,169.58,14.541,4.161,43.14,0,0,0,2883.347,170.674,163.202,23.474,-10.9,9.4E-09,25.2923,6.20622,-5.02785,264.411,38.7134
SARS-CoV-2-XBB-N__TNFbeta,SARS-CoV-2-XBB-N,TNFbeta,3,./results/SARS-CoV-2-XBB-N__TNFbeta/run1/structures/it1/water/SARS-CoV-2-XBB-N__TNFbeta_165w.pdb,5,-82.91,14.02,-66.12,18.39,-167.83,49.24,3332.5,71.41,-13.361,4.55,57.6,0,0,0,2626.156,306.269,233.328,12.599,-11.5,3.4E-09,22.8551,11.7792,-5.01167,249.935,40.8355
RaTG13-N__CXCL6,RaTG13-N,CXCL6,1,./results/RaTG13-N__CXCL6/run1/structures/it1/water/RaTG13-N__CXCL6_36w.pdb,6,-100.57,12.29,-78.18,10.83,-223.94,23.43,2869.57,252.95,8.165,4.75,49.5,0,0,0,2705.618,165.613,172.153,32.521,-12,1.6E-09,24.2266,4.86823,-5.01146,250.3,20.3652
RaTG13-N__CCL5,RaTG13-N,CCL5,6,./results/RaTG13-N__CCL5/run1/structures/it1/water/RaTG13-N__CCL5_11w.pdb,4,-106.22,13.93,-81.91,10.66,-243.09,45.47,2786.43,165.46,5.037,4.531,45.75,0,0,0,2513.96,214.772,153.156,37.233,-13.4,1.6E-10,31.4735,5.84904,-4.99725,270.192,25.7572
SARS-CoV-2-BA.4-N__CCL4L1,SARS-CoV-2-BA.4-N,CCL4L1,2,./results/SARS-CoV-2-BA.4-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL4L1_146w.pdb,6,-100.91,6.46,-70.89,7.37,-300.18,65.3,2945.95,116.3,-3.558,4.407,46,0,0,0,2424.372,227.137,160.113,6.664,-12.6,6.1E-10,22.5732,1.44469,-4.9939,243.508,30.4435
SARS-CoV-2-XBB-N__CXCL1,SARS-CoV-2-XBB-N,CXCL1,3,./results/SARS-CoV-2-XBB-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL1_61w.pdb,7,-130.72,15.65,-87.54,10.6,-431.8,66.39,2862.26,86.16,25.573,3.535,45.14,0,0,0,3037.233,229.29,137.9,25.173,-10.5,1.8E-08,22.7053,3.02457,-4.99333,233.567,18.1676
SARS-CoV-2-XBB-N__IFNA2,SARS-CoV-2-XBB-N,IFNA2,1,./results/SARS-CoV-2-XBB-N__IFNA2/run1/structures/it1/water/SARS-CoV-2-XBB-N__IFNA2_104w.pdb,4,-71.28,7.26,-48.35,11.56,-229.31,57.85,3533,175.36,18.67,2.982,58.75,0,0,0,2206.495,117.898,277.755,19.508,-11.6,3E-09,25.4916,14.2488,-4.9814,284.047,-2.45807
SARS-CoV-2-BQ.1-N__IL-27,SARS-CoV-2-BQ.1-N,IL-27,1,./results/SARS-CoV-2-BQ.1-N__IL-27/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL-27_21w.pdb,6,-80.03,6.75,-69.42,8.02,-106.14,16.69,4962.06,262.14,-8.852,1.754,81.67,0,0,0,2471.212,94.6,396.712,30.206,-10.2,3E-08,25.0666,30.8,-4.97208,249.038,12.103
SARS-CoV-2-BA.4-N__CCL1,SARS-CoV-2-BA.4-N,CCL1,2,./results/SARS-CoV-2-BA.4-N__CCL1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL1_158w.pdb,6,-122.3,11.31,-88.27,9.39,-340.22,27.34,2835.96,130.12,25.083,2.125,45.33,0,0,0,2959.45,150.789,152.363,12.8,-12.2,1.1E-09,27.0775,6.65785,-4.96816,282.709,33.1
MERS-CoV-N__CCL18,MERS-CoV-N,CCL18,8,./results/MERS-CoV-N__CCL18/run1/structures/it1/water/MERS-CoV-N__CCL18_177w.pdb,4,-69.87,11.25,-64.16,10.17,-57.14,22.09,3044.64,151.63,-2.184,1.684,51,0,0,0,2062.243,144.641,226.696,15.781,-11.8,2.2E-09,34.0954,2.95016,-4.94908,280.544,11.5271
RaTG13-N__IL-6Ralpha,RaTG13-N,IL-6Ralpha,2,./results/RaTG13-N__IL-6Ralpha/run1/structures/it1/water/RaTG13-N__IL-6Ralpha_4w.pdb,3,-124.61,13.69,-81.12,13.73,-434.98,15.59,5348.6,293.43,12.341,2.634,87.33,0,0,0,3398.567,278.974,379.088,33.724,-15.4,5.5E-12,30.3333,47.8739,-4.94534,254.318,200.825
OC43-N__CXCL7,OC43-N,CXCL7,2,./results/OC43-N__CXCL7/run1/structures/it1/water/OC43-N__CXCL7_99w.pdb,7,-96.08,4.99,-70.89,6.25,-251.89,63.97,3417.33,317.05,-2.353,4.449,58.14,0,0,0,2666.819,148.677,213.492,26.91,-14.9,1.3E-11,31.3207,4.65252,-4.90467,292.628,58.2029
RaTG13-N__CCL3,RaTG13-N,CCL3,2,./results/RaTG13-N__CCL3/run1/structures/it1/water/RaTG13-N__CCL3_184w.pdb,4,-92.86,23.92,-74.57,20.06,-182.91,39.91,3026.14,26.96,7.786,4.661,49.25,0,0,0,2180.915,270.73,199.249,34.366,-14.1,4.8E-11,29.3667,4.81566,-4.89715,260.838,20.8798
SARS-CoV-2-BA.4-N__CXCL2,SARS-CoV-2-BA.4-N,CXCL2,3,./results/SARS-CoV-2-BA.4-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL2_109w.pdb,6,-87.83,15.83,-64.04,11.99,-237.87,40.5,2631.58,166.84,17.992,5.502,43.5,0,0,0,2312.827,182.105,169.531,18.626,-12.8,4.2E-10,31.0938,2.5002,-4.89154,273.918,20.3006
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-10,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-10,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-10/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-10_14w.pdb,4,-80.16,2.5,-41.84,6.25,-383.18,42.3,3608.8,248.48,28.31,1.151,61.5,0,0,0,2409.345,93.994,270.715,23.012,-11.1,6.9E-09,27.3343,9.39178,-4.87095,275.817,-2.21008
SARS-CoV-2-B.1.1-N__CCL25,SARS-CoV-2-B.1.1-N,CCL25,20,./results/SARS-CoV-2-B.1.1-N__CCL25/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL25_160w.pdb,2,-119.16,2.64,-90.03,1.29,-291.26,13.45,2929.3,98.5,7.827,2.649,51,0,0,0,3161.155,34.145,152.473,8.519,-12.5,7.3E-10,26.975,23.4701,-4.86895,280.636,88.1337
SARS-CoV-2-B.1.1.529-N__CXCL12beta,SARS-CoV-2-B.1.1.529-N,CXCL12beta,2,./results/SARS-CoV-2-B.1.1.529-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL12beta_13w.pdb,9,-93.39,14.15,-69.68,12.11,-237.09,53.35,2918.3,143.9,10.298,4.979,46.33,0,0,0,2463.29,231.64,185.032,28.053,-13,3.1E-10,32.0189,4.3906,-4.86416,261.484,27.4395
SARS-CoV-2-XBB-N__IFNlambda1,SARS-CoV-2-XBB-N,IFNlambda1,1,./results/SARS-CoV-2-XBB-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-XBB-N__IFNlambda1_162w.pdb,6,-84.23,2.31,-52.79,2.91,-314.38,20.66,3522.24,202.3,22.459,3.482,58.17,0,0,0,2519.313,137.871,259.016,17.428,-11.1,7.4E-09,25.5067,9.8737,-4.84549,255.452,41.2939
OC43-N__IL-27,OC43-N,IL-27,15,./results/OC43-N__IL-27/run1/structures/it1/water/OC43-N__IL-27_102w.pdb,2,-89.17,0.65,-78.98,0.07,-101.83,7.18,5346.7,93.56,22,0.098,87.5,0,0,0,2857.28,6.68,457.32,10.628,-10.1,4.2E-08,31.7015,29.0329,-4.82935,286.843,29.0638
SARS-CoV-2-BA.2-N__CCL3,SARS-CoV-2-BA.2-N,CCL3,8,./results/SARS-CoV-2-BA.2-N__CCL3/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL3_118w.pdb,4,-96.06,8.97,-72.7,8.08,-233.55,24,2789.63,172.27,17.058,3.04,46.25,0,0,0,2367.33,216.693,176.611,18.863,-13.9,6.8E-11,26.225,4.03343,-4.82746,242.616,14.3986
SARS-CoV-2-BA.2-N__IFNomega,SARS-CoV-2-BA.2-N,IFNomega,2,./results/SARS-CoV-2-BA.2-N__IFNomega/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IFNomega_28w.pdb,4,-83.83,11.32,-62.21,6.11,-216.23,55.45,3394.34,182.17,3.59,2.791,59,0,0,0,2600.153,371.461,226.539,27.753,-10.6,1.7E-08,19.9841,15.3684,-4.82738,248.577,21.9805
SARS-CoV-2-B.1.351-N__TNFalpha,SARS-CoV-2-B.1.351-N,TNFalpha,1,./results/SARS-CoV-2-B.1.351-N__TNFalpha/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__TNFalpha_153w.pdb,9,-103.31,10.65,-64.51,10.09,-387.97,38.14,3314.82,163.95,22.126,4.284,54.78,0,0,0,3132.498,219.807,211.503,13.219,-12.4,8.4E-10,31.1963,9.62372,-4.81168,271.28,44.976
SARS-CoV-2-BA.4-N__CXCL16,SARS-CoV-2-BA.4-N,CXCL16,1,./results/SARS-CoV-2-BA.4-N__CXCL16/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL16_58w.pdb,8,-57.36,9.76,-35.36,9.64,-220.07,35.29,3806.38,224.27,11.711,4.177,68.88,0,0,0,1827.769,161.078,312.977,27.941,-8.7,3.9E-07,25.8535,32.9368,-4.79174,270.58,190.043
BANAL-20-52-N__CXCL10,BANAL-20-52-N,CXCL10,1,./results/BANAL-20-52-N__CXCL10/run1/structures/it1/water/BANAL-20-52-N__CXCL10_80w.pdb,11,-105.91,12.1,-73.84,8.32,-320.74,56.3,2597.13,129.22,19.78,5.127,47.36,0,0,0,2674.463,157.777,141.509,20.314,-13.7,8.9E-11,18.8384,5.19593,-4.78597,253.873,28.8317
SARS-CoV-2-BA.4-N__CXCL6,SARS-CoV-2-BA.4-N,CXCL6,3,./results/SARS-CoV-2-BA.4-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL6_101w.pdb,5,-99.78,13.54,-77.65,14.87,-221.34,66.92,2775.94,163.37,11.257,4.32,46,0,0,0,2893.718,353.366,166.936,24.042,-15.5,4E-12,22.5918,2.01108,-4.7765,269.851,25.9663
SARS-CoV-2-BQ.1-N__XCL1,SARS-CoV-2-BQ.1-N,XCL1,1,./results/SARS-CoV-2-BQ.1-N__XCL1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__XCL1_54w.pdb,7,-100.21,8.41,-62.85,6.86,-373.57,63.91,3052.45,128.69,31.077,3.161,53,0,0,0,2655.329,232.612,198.755,18.567,-6.8,9.5E-06,28.8265,6.2834,-4.76584,248.073,55.2867
SARS-CoV-2-P.1-N__CXCL10,SARS-CoV-2-P.1-N,CXCL10,6,./results/SARS-CoV-2-P.1-N__CXCL10/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL10_162w.pdb,4,-111.21,9.01,-81.79,7.93,-294.12,12.39,2784.96,181.59,16.332,2.889,50.25,0,0,0,3226.775,43.34,154.21,11.91,-14.4,2.8E-11,23.6214,5.25997,-4.74452,290.24,22.8421
SARS-CoV-2-BQ.1-N__CCL8,SARS-CoV-2-BQ.1-N,CCL8,2,./results/SARS-CoV-2-BQ.1-N__CCL8/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL8_63w.pdb,6,-89.01,2.8,-72.78,4.06,-162.25,47.48,3169.07,207.03,2.477,4.201,54.17,0,0,0,2833.582,119.714,214.15,20.794,-11.9,1.9E-09,29.2152,4.98991,-4.73956,264.753,7.91685
MERS-CoV-N__IL-6Ralpha,MERS-CoV-N,IL-6Ralpha,12,./results/MERS-CoV-N__IL-6Ralpha/run1/structures/it1/water/MERS-CoV-N__IL-6Ralpha_57w.pdb,2,-106.43,16,-69.87,16.89,-365.54,8.87,5565.03,40.72,11.383,4.157,87,0,0,0,3428.57,241.54,424.905,6.885,-16.3,1E-12,34.4277,48.0486,-4.73031,285.34,205.709
SARS-CoV-2-XBB-N__XCL1,SARS-CoV-2-XBB-N,XCL1,1,./results/SARS-CoV-2-XBB-N__XCL1/run1/structures/it1/water/SARS-CoV-2-XBB-N__XCL1_81w.pdb,7,-118.12,18.21,-90.67,15.61,-274.57,39.02,3034.28,150.64,21.632,2.619,53.29,0,0,0,3306.53,365.411,179.481,23.186,-11.4,4.1E-09,21.8927,5.86335,-4.71386,252.197,49.5075
SARS-CoV-2-B.1.1.529-N__CCL4,SARS-CoV-2-B.1.1.529-N,CCL4,1,./results/SARS-CoV-2-B.1.1.529-N__CCL4/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL4_110w.pdb,9,-101.54,5.16,-76.36,4.95,-251.77,27.49,3087.64,140.73,15.773,4.086,48.78,0,0,0,2430.542,114.621,197.824,15.465,-11.8,2.3E-09,25.7491,5.87863,-4.69704,282.362,14.533
SARS-CoV-2-BQ.1-N__CCL15,SARS-CoV-2-BQ.1-N,CCL15,3,./results/SARS-CoV-2-BQ.1-N__CCL15/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL15_102w.pdb,6,-104.58,6.71,-69.88,4.84,-346.95,35.37,3273.26,90.95,22.919,3.531,50.33,0,0,0,2863.862,105.711,210.976,11.024,-13.4,1.6E-10,31.0831,4.61968,-4.69458,266.037,36.2509
SARS-CoV-2-B.1.1-N__CXCL11,SARS-CoV-2-B.1.1-N,CXCL11,10,./results/SARS-CoV-2-B.1.1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL11_43w.pdb,4,-92.17,3.21,-64.67,4.41,-275,38.48,2664.22,134.75,-7.113,5.735,46,0,0,0,2720.445,112.613,139.639,13.825,-12.6,5.4E-10,23.5594,6.07176,-4.67062,261.422,34.6448
SARS-CoV-2-BA.1.1-N__IL-6Ralpha,SARS-CoV-2-BA.1.1-N,IL-6Ralpha,12,./results/SARS-CoV-2-BA.1.1-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IL-6Ralpha_96w.pdb,2,-95.17,10.76,-76.09,16.14,-190.87,53.78,5599.47,66.83,-6.989,1.369,87.5,0,0,0,3113.14,263.53,457.572,5.444,-14.8,1.4E-11,23.7135,45.3382,-4.66412,270.635,198.33
MERS-CoV-N__XCL1,MERS-CoV-N,XCL1,1,./results/MERS-CoV-N__XCL1/run1/structures/it1/water/MERS-CoV-N__XCL1_5w.pdb,5,-74.89,13.44,-51.12,13.31,-237.69,20.35,3031.32,231.87,18.561,3.557,45.4,0,0,0,2275.978,227.004,223.039,36.52,-11.8,2.1E-09,35.9733,6.34105,-4.64927,277.597,63.7132
SARS-CoV-2-B.1.1.7-N__CCL21,SARS-CoV-2-B.1.1.7-N,CCL21,1,./results/SARS-CoV-2-B.1.1.7-N__CCL21/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL21_39w.pdb,4,-107.08,4.05,-65.75,4.04,-413.28,27.6,3448.13,224.48,23.638,1.624,54,0,0,0,2409.108,107.323,220.045,22.108,-10.5,2.1E-08,23.9631,8.58464,-4.62212,267.046,68.3155
SARS-CoV-2-P.1-N__CCL11,SARS-CoV-2-P.1-N,CCL11,1,./results/SARS-CoV-2-P.1-N__CCL11/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL11_60w.pdb,5,-86.35,10.07,-59.06,11.26,-272.97,29.34,2959.9,218.2,18.827,3.756,48.4,0,0,0,2169.754,171.008,201.165,22.815,-10.4,2.5E-08,28.8757,6.20312,-4.62204,266.743,9.93942
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18BP,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-18BP,9,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18BP_95w.pdb,2,-98.68,0.24,-78.8,0.67,-198.82,4.35,3556.28,23.62,7.898,2.926,60,0,0,0,2636.1,42.23,244.959,5.486,-12.8,3.9E-10,21.9679,7.08518,-4.61607,267.663,57.8024
SARS-CoV-2-BA.4-N__CXCL4,SARS-CoV-2-BA.4-N,CXCL4,1,./results/SARS-CoV-2-BA.4-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL4_31w.pdb,8,-129.01,13.42,-93.57,10.72,-354.39,34.54,2734,291.63,11.183,3.348,46.12,0,0,0,2828.795,194.998,120.138,25.841,-15.3,5.6E-12,28.1737,4.34562,-4.60901,279.847,39.0674
SARS-CoV-2-WA1-N__CXCL4,SARS-CoV-2-WA1-N,CXCL4,7,./results/SARS-CoV-2-WA1-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL4_83w.pdb,4,-103.36,8.38,-70.87,10.76,-324.9,30.01,3085.47,245.18,19.192,1.435,46.75,0,0,0,2665.94,121.208,191.891,17.026,-11.5,3.8E-09,19.8477,5.18504,-4.59867,267.258,27.7871
SARS-CoV-2-B.1.1.7-N__CXCL14,SARS-CoV-2-B.1.1.7-N,CXCL14,2,./results/SARS-CoV-2-B.1.1.7-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL14_48w.pdb,4,-113.96,17.11,-71.2,12.49,-427.6,91.33,2994.02,48.4,9.272,2.95,48.5,0,0,0,2665.533,287.796,151.951,30.382,-11,8.2E-09,25.5434,2.65871,-4.57131,250.591,10.5009
SARS-CoV-2-WA1-N__IFNomega,SARS-CoV-2-WA1-N,IFNomega,1,./results/SARS-CoV-2-WA1-N__IFNomega/run1/structures/it1/water/SARS-CoV-2-WA1-N__IFNomega_103w.pdb,6,-88,5.63,-63.13,4.06,-248.76,32.04,3569.74,122.84,17.73,1.606,59.33,0,0,0,2628.433,138.03,254.929,14.804,-12.1,1.2E-09,22.3615,13.7798,-4.56907,267.592,14.8449
SARS-CoV-2-P.1-N__IL-1beta,SARS-CoV-2-P.1-N,IL-1beta,3,./results/SARS-CoV-2-P.1-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-1beta_19w.pdb,6,-92.64,10.4,-71.39,12.3,-212.51,35.38,3371.52,169.65,13.387,2.676,53.33,0,0,0,2514.865,187.917,236.645,16.292,-9.5,1E-07,23.8446,11.4844,-4.55094,272.844,32.6197
SARS-CoV-N__CCL19,SARS-CoV-N,CCL19,3,./results/SARS-CoV-N__CCL19/run1/structures/it1/water/SARS-CoV-N__CCL19_51w.pdb,8,-81.92,11.91,-56.33,7.62,-255.84,54.78,2837.89,211.41,14.683,3.894,48.75,0,0,0,2327.051,145.201,190.973,26.552,-10.6,1.8E-08,26.9412,3.62481,-4.54319,265.774,6.90932
