,n_protein,cytokine_protein,experiment_name,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
559,MERS-CoV-N,CCL8,MERS-CoV-N__CCL8,8,./results/MERS-CoV-N__CCL8/run1/structures/it1/water/MERS-CoV-N__CCL8_21w.pdb,4,-91.0,9.13,-79.84,7.33,-111.55,28.42,2977.88,174.2,-1.22,3.113,46.75,0.0,0.0,0.0,2736.72,191.219,194.417,23.327,-13.0,2.9e-10
560,RaTG13-N,CXCL5,RaTG13-N__CXCL5,6,./results/RaTG13-N__CXCL5/run1/structures/it1/water/RaTG13-N__CXCL5_11w.pdb,4,-97.39,3.97,-67.72,3.39,-296.71,23.89,2675.76,101.07,17.445,0.683,47.75,0.0,0.0,0.0,2945.643,179.747,157.962,12.9,-13.4,1.6e-10
561,SARS-CoV-2-BA.2-N,IFNgamma,SARS-CoV-2-BA.2-N__IFNgamma,3,./results/SARS-CoV-2-BA.2-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IFNgamma_30w.pdb,4,-99.43,10.12,-71.86,6.38,-275.75,41.1,2861.82,354.77,30.293,4.998,50.5,0.0,0.0,0.0,2718.188,375.963,183.413,36.351,-9.6,9.4e-08
562,SARS-CoV-2-BA.2-N,CCL2,SARS-CoV-2-BA.2-N__CCL2,6,./results/SARS-CoV-2-BA.2-N__CCL2/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL2_168w.pdb,4,-110.84,8.15,-66.8,9.99,-440.38,30.78,2901.27,88.33,23.439,3.685,48.75,0.0,0.0,0.0,2682.483,140.518,158.692,13.135,-14.9,1.2e-11
563,SARS-CoV-2-XBB-N,IL-1beta,SARS-CoV-2-XBB-N__IL-1beta,1,./results/SARS-CoV-2-XBB-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-XBB-N__IL-1beta_8w.pdb,5,-77.25,2.34,-53.62,1.95,-236.28,8.77,3274.11,175.72,13.247,0.769,55.8,0.0,0.0,0.0,2026.006,29.172,239.783,18.702,-9.1,2e-07
564,SARS-CoV-2-BQ.1-N,CCL5,SARS-CoV-2-BQ.1-N__CCL5,7,./results/SARS-CoV-2-BQ.1-N__CCL5/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL5_54w.pdb,4,-85.85,11.62,-77.28,10.15,-85.67,20.93,2967.95,479.41,-7.997,5.585,42.25,0.0,0.0,0.0,2378.818,134.497,194.381,38.875,-15.4,5e-12
565,BANAL-20-52-N,IFNomega,BANAL-20-52-N__IFNomega,1,./results/BANAL-20-52-N__IFNomega/run1/structures/it1/water/BANAL-20-52-N__IFNomega_64w.pdb,4,-81.66,11.67,-62.46,9.47,-192.01,62.65,3420.99,143.11,7.465,1.014,58.5,0.0,0.0,0.0,2405.023,218.62,240.699,36.915,-7.7,2.1e-06
566,OC43-N,IL-18BP,OC43-N__IL-18BP,3,./results/OC43-N__IL-18BP/run1/structures/it1/water/OC43-N__IL-18BP_18w.pdb,4,-121.49,19.14,-99.77,15.53,-217.13,38.67,3276.88,237.76,-5.098,1.5,57.75,0.0,0.0,0.0,3426.507,288.701,179.39,16.204,-16.0,1.8e-12
567,SARS-CoV-2-P.1-N,CXCL8,SARS-CoV-2-P.1-N__CXCL8,3,./results/SARS-CoV-2-P.1-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL8_24w.pdb,8,-102.81,16.11,-68.07,13.17,-347.39,43.71,2935.26,133.05,25.688,3.692,50.62,0.0,0.0,0.0,2515.03,246.773,181.667,26.987,-12.9,3.2e-10
568,SARS-CoV-2-WA1-N,INFA2,SARS-CoV-2-WA1-N__INFA2,1,./results/SARS-CoV-2-WA1-N__INFA2/run1/structures/it1/water/SARS-CoV-2-WA1-N__INFA2_120w.pdb,8,-94.08,3.8,-65.98,12.12,-280.99,90.31,3467.23,266.87,20.458,5.1,57.75,0.0,0.0,0.0,2423.484,94.862,245.0,26.304,-9.4,1.3e-07
569,SARS-CoV-2-B.1.1.7-N,CCL18,SARS-CoV-2-B.1.1.7-N__CCL18,2,./results/SARS-CoV-2-B.1.1.7-N__CCL18/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL18_106w.pdb,5,-104.15,13.58,-81.68,10.84,-224.75,38.94,2824.4,124.78,20.715,5.031,46.6,0.0,0.0,0.0,2597.014,187.015,176.528,28.803,-12.8,3.9e-10
570,SARS-CoV-2-B.1.1.529-N,CCL3,SARS-CoV-2-B.1.1.529-N__CCL3,4,./results/SARS-CoV-2-B.1.1.529-N__CCL3/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL3_142w.pdb,7,-95.68,9.61,-68.94,9.75,-267.41,46.12,3039.2,116.85,16.87,2.063,47.14,0.0,0.0,0.0,2340.894,141.787,198.372,11.41,-12.2,1.2e-09
571,RaTG13-N,CCL23,RaTG13-N__CCL23,1,./results/RaTG13-N__CCL23/run1/structures/it1/water/RaTG13-N__CCL23_108w.pdb,3,-90.46,1.43,-70.08,3.6,-203.77,22.29,3343.0,26.56,7.268,2.769,56.33,0.0,0.0,0.0,2609.543,169.792,234.074,20.713,-8.2,9.9e-07
572,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-17a,SARS-CoV-2-B.1.617.2-DeltaA-N__IL-17a,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-17a_2w.pdb,5,-115.84,26.56,-80.06,25.3,-357.77,25.85,3086.72,406.14,1.701,7.537,56.8,0.0,0.0,0.0,3112.568,471.605,158.756,69.788,-14.7,1.7e-11
573,SARS-CoV-2-P.1-N,IL6,SARS-CoV-2-P.1-N__IL6,4,./results/SARS-CoV-2-P.1-N__IL6/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL6_7w.pdb,3,-99.96,12.95,-61.46,15.83,-384.95,28.82,3302.2,407.58,20.461,3.5,56.33,0.0,0.0,0.0,2724.577,264.49,212.229,47.142,-14.5,2.3e-11
574,SARS-CoV-2-BA.2-N,CCL17,SARS-CoV-2-BA.2-N__CCL17,2,./results/SARS-CoV-2-BA.2-N__CCL17/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL17_64w.pdb,10,-97.45,25.69,-68.69,19.65,-287.6,69.57,2969.51,85.08,24.214,6.339,49.2,0.0,0.0,0.0,2338.655,427.159,194.954,24.553,-14.0,5e-11
575,SARS-CoV-2-B.1.351-N,CCL22,SARS-CoV-2-B.1.351-N__CCL22,5,./results/SARS-CoV-2-B.1.351-N__CCL22/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL22_37w.pdb,5,-95.19,11.03,-68.44,13.43,-267.46,58.16,3237.6,129.15,-8.98,5.416,52.2,0.0,0.0,0.0,2649.716,205.249,192.849,18.774,-13.3,1.7e-10
576,SARS-CoV-2-BA.1.1-N,IL-10,SARS-CoV-2-BA.1.1-N__IL-10,3,./results/SARS-CoV-2-BA.1.1-N__IL-10/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IL-10_178w.pdb,3,-85.12,1.9,-55.14,1.35,-299.82,16.3,3359.15,219.64,23.423,0.949,59.33,0.0,0.0,0.0,2412.683,50.494,226.945,3.685,-10.9,1e-08
577,SARS-CoV-2-BQ.1-N,CCL24,SARS-CoV-2-BQ.1-N__CCL24,2,./results/SARS-CoV-2-BQ.1-N__CCL24/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL24_71w.pdb,4,-83.1,3.22,-65.03,6.34,-180.74,43.24,2964.6,78.75,-10.624,4.332,54.5,0.0,0.0,0.0,2851.465,216.248,184.659,7.986,-14.8,1.5e-11
578,SARS-CoV-2-XBB-N,CXCL4,SARS-CoV-2-XBB-N__CXCL4,2,./results/SARS-CoV-2-XBB-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL4_59w.pdb,7,-115.11,10.74,-73.22,12.27,-418.94,55.04,2615.75,209.71,27.621,2.891,44.29,0.0,0.0,0.0,2961.497,162.836,132.189,30.482,-12.7,4.5e-10
579,SARS-CoV-2-BA.4-N,CCL13,SARS-CoV-2-BA.4-N__CCL13,4,./results/SARS-CoV-2-BA.4-N__CCL13/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL13_166w.pdb,5,-90.41,8.1,-58.03,4.38,-323.83,50.65,2659.56,135.63,15.627,3.21,43.0,0.0,0.0,0.0,2378.236,134.237,158.789,11.426,-7.2,5.5e-06
580,SARS-CoV-2-B.1.1.529-N,CCL13,SARS-CoV-2-B.1.1.529-N__CCL13,1,./results/SARS-CoV-2-B.1.1.529-N__CCL13/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL13_117w.pdb,12,-98.69,9.86,-58.38,6.09,-403.06,71.6,3143.06,195.44,12.671,4.041,50.75,0.0,0.0,0.0,2339.056,163.354,187.98,19.735,-10.5,2.1e-08
581,SARS-CoV-2-B.1.1.529-N,IFNlambda1,SARS-CoV-2-B.1.1.529-N__IFNlambda1,1,./results/SARS-CoV-2-B.1.1.529-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IFNlambda1_2w.pdb,6,-65.87,6.23,-31.09,6.73,-347.76,16.71,3491.21,269.26,23.366,1.623,61.33,0.0,0.0,0.0,2259.943,138.742,260.212,27.085,-10.5,1.9e-08
582,SARS-CoV-2-B.1.1-N,CCL26,SARS-CoV-2-B.1.1-N__CCL26,3,./results/SARS-CoV-2-B.1.1-N__CCL26/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL26_175w.pdb,4,-107.82,10.03,-92.26,8.75,-155.57,44.89,2629.43,84.09,24.017,3.931,45.0,0.0,0.0,0.0,2886.297,164.94,163.582,15.661,-11.7,2.5e-09
583,MERS-CoV-N,CXCL11,MERS-CoV-N__CXCL11,8,./results/MERS-CoV-N__CXCL11/run1/structures/it1/water/MERS-CoV-N__CXCL11_41w.pdb,4,-102.81,5.2,-61.22,4.38,-415.97,82.42,2745.93,176.54,17.98,2.496,44.0,0.0,0.0,0.0,2954.125,150.105,148.16,26.852,-11.2,6.5e-09
584,SARS-CoV-2-BA.1.1-N,IL-1alpha,SARS-CoV-2-BA.1.1-N__IL-1alpha,3,./results/SARS-CoV-2-BA.1.1-N__IL-1alpha/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IL-1alpha_98w.pdb,5,-83.91,11.15,-71.27,7.33,-126.4,65.95,3112.39,133.85,4.85,3.0,52.2,0.0,0.0,0.0,2465.292,205.654,213.567,18.215,-12.0,1.6e-09
585,SARS-CoV-2-B.1.1.529-N,CCL14,SARS-CoV-2-B.1.1.529-N__CCL14,3,./results/SARS-CoV-2-B.1.1.529-N__CCL14/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL14_117w.pdb,10,-113.4,20.55,-80.53,15.32,-328.65,60.28,2887.05,187.38,12.011,4.62,48.6,0.0,0.0,0.0,2761.473,400.532,154.452,30.121,-17.2,2.5e-13
586,BANAL-20-52-N,CXCL4,BANAL-20-52-N__CXCL4,1,./results/BANAL-20-52-N__CXCL4/run1/structures/it1/water/BANAL-20-52-N__CXCL4_54w.pdb,5,-116.24,9.56,-79.02,12.82,-372.15,34.03,2767.31,102.53,30.372,3.112,45.2,0.0,0.0,0.0,2599.938,175.356,153.651,16.74,-10.5,2.1e-08
587,SARS-CoV-2-BA.2-N,CCL25,SARS-CoV-2-BA.2-N__CCL25,2,./results/SARS-CoV-2-BA.2-N__CCL25/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL25_95w.pdb,4,-75.9,5.69,-59.47,5.36,-164.24,31.9,3440.52,122.63,-3.832,7.86,54.0,0.0,0.0,0.0,2124.008,150.768,247.899,12.99,-9.9,5.8e-08
588,MERS-CoV-N,CXCL2,MERS-CoV-N__CXCL2,9,./results/MERS-CoV-N__CXCL2/run1/structures/it1/water/MERS-CoV-N__CXCL2_132w.pdb,5,-68.36,7.04,-59.35,4.85,-90.15,25.42,2997.34,254.27,4.438,2.509,45.6,0.0,0.0,0.0,2120.622,178.027,226.795,31.246,-12.8,4e-10
589,SARS-CoV-2-BQ.1-N,CXCL13,SARS-CoV-2-BQ.1-N__CXCL13,5,./results/SARS-CoV-2-BQ.1-N__CXCL13/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL13_31w.pdb,4,-87.62,6.31,-75.9,4.9,-117.22,57.22,3547.27,141.14,4.257,6.509,57.25,0.0,0.0,0.0,2479.955,94.735,259.637,23.466,-12.1,1.3e-09
590,SARS-CoV-2-BA.1.1-N,CXCL7,SARS-CoV-2-BA.1.1-N__CXCL7,1,./results/SARS-CoV-2-BA.1.1-N__CXCL7/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL7_165w.pdb,5,-96.72,17.71,-55.59,11.65,-411.32,75.53,3075.49,140.13,21.556,6.599,53.6,0.0,0.0,0.0,2743.504,329.033,191.256,33.409,-13.7,8.2e-11
591,SARS-CoV-2-XBB-N,CXCL12beta,SARS-CoV-2-XBB-N__CXCL12beta,5,./results/SARS-CoV-2-XBB-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL12beta_4w.pdb,6,-117.3,18.24,-92.06,13.17,-252.43,72.68,2413.94,97.34,0.616,5.146,40.33,0.0,0.0,0.0,2924.953,136.518,99.465,25.802,-11.3,5.3e-09
592,SARS-CoV-2-B.1.351-N,CCL4L1,SARS-CoV-2-B.1.351-N__CCL4L1,4,./results/SARS-CoV-2-B.1.351-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL4L1_108w.pdb,8,-102.01,8.29,-86.33,8.45,-156.84,33.46,3121.75,193.13,-10.506,3.15,51.38,0.0,0.0,0.0,2761.894,183.256,183.974,22.466,-14.7,1.8e-11
593,OC43-N,CCL5,OC43-N__CCL5,7,./results/OC43-N__CCL5/run1/structures/it1/water/OC43-N__CCL5_1w.pdb,7,-107.02,17.33,-74.59,10.77,-324.31,85.07,3021.42,220.54,-7.898,6.642,50.0,0.0,0.0,0.0,3161.499,196.504,154.794,40.419,-15.9,2.1e-12
594,SARS-CoV-N,CXCL11,SARS-CoV-N__CXCL11,11,./results/SARS-CoV-N__CXCL11/run1/structures/it1/water/SARS-CoV-N__CXCL11_28w.pdb,5,-98.96,14.21,-74.09,15.83,-248.69,75.34,2733.71,168.59,-5.753,5.526,46.2,0.0,0.0,0.0,2715.394,95.105,143.793,30.643,-11.3,4.8e-09
595,SARS-CoV-2-WA1-N,CXCL12beta,SARS-CoV-2-WA1-N__CXCL12beta,4,./results/SARS-CoV-2-WA1-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL12beta_165w.pdb,5,-90.49,7.61,-70.82,7.35,-196.73,12.0,2940.1,86.85,-6.202,5.145,49.2,0.0,0.0,0.0,2882.278,183.622,177.644,10.32,-12.8,4.2e-10
596,BANAL-20-52-N,CXCL9,BANAL-20-52-N__CXCL9,1,./results/BANAL-20-52-N__CXCL9/run1/structures/it1/water/BANAL-20-52-N__CXCL9_92w.pdb,4,-112.18,11.58,-70.45,7.34,-417.29,49.6,3118.41,211.87,11.15,4.441,53.5,0.0,0.0,0.0,3137.915,354.082,169.082,30.223,-13.9,6e-11
597,SARS-CoV-2-BA.2-N,CX3CL1,SARS-CoV-2-BA.2-N__CX3CL1,12,./results/SARS-CoV-2-BA.2-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CX3CL1_178w.pdb,2,-107.33,20.74,-83.47,22.85,-238.6,21.05,5694.51,1.05,1.313,1.177,83.0,0.0,0.0,0.0,3006.875,157.695,460.941,1.656,-13.6,1.1e-10
598,MERS-CoV-N,CCL1,MERS-CoV-N__CCL1,3,./results/MERS-CoV-N__CCL1/run1/structures/it1/water/MERS-CoV-N__CCL1_96w.pdb,5,-115.34,7.12,-92.87,3.95,-224.68,35.92,3293.25,306.22,-4.56,6.364,45.2,0.0,0.0,0.0,2856.434,111.445,186.96,35.716,-14.6,2e-11
599,RaTG13-N,CCL16,RaTG13-N__CCL16,5,./results/RaTG13-N__CCL16/run1/structures/it1/water/RaTG13-N__CCL16_130w.pdb,4,-104.36,3.53,-87.76,1.36,-165.95,45.69,2937.23,82.87,7.42,6.047,53.5,0.0,0.0,0.0,2895.968,159.589,180.191,4.215,-10.5,2e-08
600,SARS-CoV-2-B.1.1-N,CCL28,SARS-CoV-2-B.1.1-N__CCL28,21,./results/SARS-CoV-2-B.1.1-N__CCL28/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL28_22w.pdb,2,-143.3,1.18,-92.84,1.77,-504.57,5.93,2943.76,160.75,14.214,0.027,52.0,0.0,0.0,0.0,3418.97,19.93,114.837,16.633,-12.8,4.3e-10
601,SARS-CoV-2-B.1.1.7-N,CXCL12beta,SARS-CoV-2-B.1.1.7-N__CXCL12beta,5,./results/SARS-CoV-2-B.1.1.7-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL12beta_95w.pdb,4,-104.95,7.53,-70.94,4.87,-340.05,32.72,2886.96,104.28,7.557,2.745,49.0,0.0,0.0,0.0,2684.883,129.006,157.299,12.184,-11.9,2e-09
602,OC43-N,CXCL16,OC43-N__CXCL16,3,./results/OC43-N__CXCL16/run1/structures/it1/water/OC43-N__CXCL16_115w.pdb,2,-76.76,0.23,-62.92,0.25,-138.4,4.85,4310.87,344.37,11.404,1.838,72.5,0.0,0.0,0.0,2346.88,0.12,351.896,36.992,-8.0,1.4e-06
603,SARS-CoV-2-BQ.1-N,CCL22,SARS-CoV-2-BQ.1-N__CCL22,10,./results/SARS-CoV-2-BQ.1-N__CCL22/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL22_160w.pdb,4,-97.71,6.12,-87.6,5.57,-101.14,17.24,2891.0,122.28,-5.049,1.416,44.5,0.0,0.0,0.0,2649.19,113.536,176.227,13.776,-13.2,1.9e-10
604,SARS-CoV-2-B.1.1.7-N,IFNbeta,SARS-CoV-2-B.1.1.7-N__IFNbeta,8,./results/SARS-CoV-2-B.1.1.7-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IFNbeta_5w.pdb,4,-100.43,16.58,-69.87,13.21,-305.6,35.82,2971.08,207.19,6.168,6.896,50.0,0.0,0.0,0.0,2433.4,226.813,172.287,33.086,-13.4,1.5e-10
605,MERS-CoV-N,CXCL9,MERS-CoV-N__CXCL9,2,./results/MERS-CoV-N__CXCL9/run1/structures/it1/water/MERS-CoV-N__CXCL9_55w.pdb,6,-90.55,19.29,-64.93,14.78,-256.22,63.62,3128.84,218.84,15.017,3.778,49.5,0.0,0.0,0.0,2263.755,252.602,211.73,36.529,-10.5,1.9e-08
606,OC43-N,CCL4L1,OC43-N__CCL4L1,11,./results/OC43-N__CCL4L1/run1/structures/it1/water/OC43-N__CCL4L1_171w.pdb,4,-99.1,13.46,-81.61,13.21,-174.85,18.85,3337.59,164.97,-14.831,5.502,49.0,0.0,0.0,0.0,2737.465,94.252,202.345,17.721,-14.8,1.4e-11
607,SARS-CoV-2-BA.2-N,CCL1,SARS-CoV-2-BA.2-N__CCL1,2,./results/SARS-CoV-2-BA.2-N__CCL1/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL1_148w.pdb,7,-92.6,14.2,-72.84,13.47,-197.59,29.98,2842.8,154.19,-5.369,7.011,47.86,0.0,0.0,0.0,2419.224,260.379,166.551,26.319,-12.4,8.3e-10
608,SARS-CoV-2-BQ.1-N,CCL14,SARS-CoV-2-BQ.1-N__CCL14,5,./results/SARS-CoV-2-BQ.1-N__CCL14/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL14_105w.pdb,6,-95.91,6.69,-67.08,9.89,-288.27,37.45,3038.07,109.44,17.78,3.527,49.33,0.0,0.0,0.0,2489.07,127.077,196.85,15.119,-9.8,6e-08
609,SARS-CoV-2-P.1-N,CCL28,SARS-CoV-2-P.1-N__CCL28,24,./results/SARS-CoV-2-P.1-N__CCL28/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL28_15w.pdb,2,-157.97,5.51,-89.48,6.2,-684.92,6.85,2997.11,238.26,29.215,2.021,54.0,0.0,0.0,0.0,3515.005,46.335,102.465,26.631,-16.6,6.2e-13
610,MERS-CoV-N,CCL18,MERS-CoV-N__CCL18,8,./results/MERS-CoV-N__CCL18/run1/structures/it1/water/MERS-CoV-N__CCL18_177w.pdb,4,-69.87,11.25,-64.16,10.17,-57.14,22.09,3044.64,151.63,-2.184,1.684,51.0,0.0,0.0,0.0,2062.243,144.641,226.696,15.781,-11.8,2.2e-09
611,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL2,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL2,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL2_146w.pdb,7,-90.81,12.92,-70.88,11.7,-199.34,38.76,2961.85,272.08,14.09,3.884,46.57,0.0,0.0,0.0,2467.73,111.788,199.529,20.255,-11.8,2.2e-09
612,SARS-CoV-2-BQ.1-N,CCL3L1,SARS-CoV-2-BQ.1-N__CCL3L1,3,./results/SARS-CoV-2-BQ.1-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL3L1_117w.pdb,7,-113.76,8.68,-82.59,8.18,-311.68,29.95,3295.96,144.03,2.412,2.399,54.14,0.0,0.0,0.0,2658.379,124.157,187.08,20.902,-14.7,1.5e-11
613,SARS-CoV-2-B.1.1-N,CXCL5,SARS-CoV-2-B.1.1-N__CXCL5,4,./results/SARS-CoV-2-B.1.1-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL5_134w.pdb,6,-102.73,9.44,-91.44,11.24,-112.86,25.2,2884.44,77.05,2.233,3.056,42.83,0.0,0.0,0.0,2474.058,178.036,176.664,14.368,-14.9,1.2e-11
614,SARS-CoV-2-B.1.1.7-N,IL-18BP,SARS-CoV-2-B.1.1.7-N__IL-18BP,1,./results/SARS-CoV-2-B.1.1.7-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-18BP_25w.pdb,5,-109.89,18.25,-80.57,17.03,-293.22,61.82,3257.99,197.5,7.821,8.117,57.2,0.0,0.0,0.0,3266.292,229.985,183.036,22.5,-14.0,5.8e-11
615,SARS-CoV-2-B.1.351-N,CXCL4,SARS-CoV-2-B.1.351-N__CXCL4,7,./results/SARS-CoV-2-B.1.351-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL4_81w.pdb,4,-113.08,17.31,-64.84,10.97,-482.45,71.0,2865.01,104.01,15.646,3.512,45.5,0.0,0.0,0.0,3101.642,304.102,140.819,16.479,-15.1,8.6e-12
616,SARS-CoV-2-BA.2-N,CCL5,SARS-CoV-2-BA.2-N__CCL5,2,./results/SARS-CoV-2-BA.2-N__CCL5/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL5_103w.pdb,10,-115.91,18.54,-81.93,17.16,-339.81,51.12,2850.16,183.29,6.198,6.621,46.2,0.0,0.0,0.0,2623.021,280.034,141.321,34.55,-14.4,2.8e-11
617,SARS-CoV-2-WA1-N,TNFbeta,SARS-CoV-2-WA1-N__TNFbeta,1,./results/SARS-CoV-2-WA1-N__TNFbeta/run1/structures/it1/water/SARS-CoV-2-WA1-N__TNFbeta_116w.pdb,4,-109.21,10.01,-84.13,7.12,-250.82,30.79,3742.53,163.31,-7.386,2.62,64.25,0.0,0.0,0.0,3254.295,238.513,232.577,28.94,-16.4,9.8e-13
618,SARS-CoV-2-BA.2-N,IFNA2,SARS-CoV-2-BA.2-N__IFNA2,7,./results/SARS-CoV-2-BA.2-N__IFNA2/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IFNA2_36w.pdb,2,-98.45,10.52,-84.44,11.27,-140.1,7.42,3434.21,167.06,16.828,3.258,56.0,0.0,0.0,0.0,2495.4,250.38,247.793,23.229,-11.2,6.6e-09
619,SARS-CoV-2-B.1.1-N,CCL7,SARS-CoV-2-B.1.1-N__CCL7,1,./results/SARS-CoV-2-B.1.1-N__CCL7/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL7_103w.pdb,13,-103.17,9.73,-68.99,6.89,-341.79,41.38,3049.92,158.17,18.969,3.225,47.54,0.0,0.0,0.0,2688.075,145.754,186.61,16.408,-9.9,5.6e-08
620,RaTG13-N,CCL20,RaTG13-N__CCL20,7,./results/RaTG13-N__CCL20/run1/structures/it1/water/RaTG13-N__CCL20_101w.pdb,4,-143.6,11.46,-106.92,9.07,-366.78,24.64,2804.43,72.95,23.109,2.707,48.0,0.0,0.0,0.0,3532.483,87.363,123.274,12.326,-15.0,1.1e-11
621,MERS-CoV-N,CCL25,MERS-CoV-N__CCL25,1,./results/MERS-CoV-N__CCL25/run1/structures/it1/water/MERS-CoV-N__CCL25_148w.pdb,19,-86.89,13.73,-76.38,10.88,-105.12,41.93,3362.57,350.28,-7.521,4.203,52.74,0.0,0.0,0.0,2497.637,239.191,231.438,42.259,-12.8,4e-10
622,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-6,SARS-CoV-2-B.1.617.2-DeltaA-N__IL-6,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-6/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-6_66w.pdb,4,-118.33,4.42,-69.86,5.31,-484.72,13.93,3224.85,75.5,29.004,3.661,58.0,0.0,0.0,0.0,3316.477,144.142,184.683,5.733,-12.7,4.9e-10
623,SARS-CoV-2-BA.1.1-N,CXCL5,SARS-CoV-2-BA.1.1-N__CXCL5,3,./results/SARS-CoV-2-BA.1.1-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL5_21w.pdb,8,-77.36,6.88,-52.56,8.01,-247.94,27.41,2626.3,123.55,18.153,5.393,43.12,0.0,0.0,0.0,2131.863,104.792,178.632,9.824,-11.5,3.7e-09
624,SARS-CoV-2-BA.1.1-N,IL-6Ralpha,SARS-CoV-2-BA.1.1-N__IL-6Ralpha,12,./results/SARS-CoV-2-BA.1.1-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IL-6Ralpha_96w.pdb,2,-95.17,10.76,-76.09,16.14,-190.87,53.78,5599.47,66.83,-6.989,1.369,87.5,0.0,0.0,0.0,3113.14,263.53,457.572,5.444,-14.8,1.4e-11
625,SARS-CoV-N,IL-6,SARS-CoV-N__IL-6,5,./results/SARS-CoV-N__IL-6/run1/structures/it1/water/SARS-CoV-N__IL-6_39w.pdb,4,-77.41,18.21,-58.34,11.64,-190.63,71.21,3587.45,224.39,17.82,1.323,63.0,0.0,0.0,0.0,2675.883,298.696,280.096,48.271,-14.2,3.6e-11
626,SARS-CoV-2-P.1-N,IL-10,SARS-CoV-2-P.1-N__IL-10,4,./results/SARS-CoV-2-P.1-N__IL-10/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-10_17w.pdb,4,-120.72,6.04,-63.61,3.32,-571.13,64.1,2927.11,157.02,29.088,4.41,52.5,0.0,0.0,0.0,3015.538,124.153,143.961,16.457,-13.3,1.9e-10
