experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
MERS-CoV-N_IL-17a,MERS-CoV-N,IL-17a,./best_AF2_and_GDock/MERS-CoV-N_IL-17a_relaxed_model_4_multimer_v3_pred_4.pdb,-12.8,4.30E-10,-7.07819
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL11,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL11_relaxed_model_2_multimer_v3_pred_1.pdb,-11.5,3.60E-09,-19.073
SARS-CoV-2-BA.1.1-N_TNFalpha,SARS-CoV-2-BA.1.1-N,TNFalpha,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_TNFalpha_relaxed_model_4_multimer_v3_pred_2.pdb,-19.6,4.40E-15,5.00069
MERS-CoV-N_CCL14,MERS-CoV-N,CCL14,./best_AF2_and_GDock/MERS-CoV-N_CCL14_relaxed_model_4_multimer_v3_pred_2.pdb,-10.1,4.10E-08,-7.56693
MERS-CoV-N_CXCL1,MERS-CoV-N,CXCL1,./best_AF2_and_GDock/MERS-CoV-N_CXCL1_relaxed_model_4_multimer_v3_pred_0.pdb,-17.3,2.10E-13,-3.54662
SARS-CoV-2-BA.1.1-N_IL-23,SARS-CoV-2-BA.1.1-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-23_relaxed_model_3_multimer_v3_pred_1.pdb,-30.9,2.10E-23,-2.09113
SARS-CoV-N_CCL5,SARS-CoV-N,CCL5,./best_AF2_and_GDock/SARS-CoV-N_CCL5_relaxed_model_3_multimer_v3_pred_1.pdb,-13,3.10E-10,0.649536
SARS-CoV-2-BA.1.1-N_CXCL8,SARS-CoV-2-BA.1.1-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL8_relaxed_model_4_multimer_v3_pred_2.pdb,-14.8,1.30E-11,-8.71612
SARS-CoV-2-BA.4-N_CXCL13,SARS-CoV-2-BA.4-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL13_relaxed_model_3_multimer_v3_pred_0.pdb,-11.9,1.90E-09,0.264949
BANAL-20-52-N_CXCL7,BANAL-20-52-N,CXCL7,./best_AF2_and_GDock/BANAL-20-52-N_CXCL7_relaxed_model_3_multimer_v3_pred_3.pdb,-10,4.70E-08,-11.2571
SARS-CoV-2-B.1.351-N_TNFalpha,SARS-CoV-2-B.1.351-N,TNFalpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_TNFalpha_relaxed_model_3_multimer_v3_pred_3.pdb,-12.3,1.00E-09,-5.99935
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-6,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-6_relaxed_model_2_multimer_v3_pred_3.pdb,-11.3,5.50E-09,-2.37225
SARS-CoV-2-B.1.1.529-N_CXCL12alpha,SARS-CoV-2-B.1.1.529-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL12alpha_relaxed_model_3_multimer_v3_pred_0.pdb,-9,2.70E-07,-3.99064
MERS-CoV-N_CXCL12beta,MERS-CoV-N,CXCL12beta,./best_AF2_and_GDock/MERS-CoV-N_CXCL12beta_relaxed_model_2_multimer_v3_pred_4.pdb,-17,3.30E-13,-15.9842
SARS-CoV-2-BA.1.1-N_IL-13,SARS-CoV-2-BA.1.1-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-13_relaxed_model_3_multimer_v3_pred_3.pdb,-12.9,3.70E-10,2.37696
SARS-CoV-2-B.1.1.529-N_CCL3,SARS-CoV-2-B.1.1.529-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL3_relaxed_model_4_multimer_v3_pred_1.pdb,-12.4,7.90E-10,-16.2055
SARS-CoV-2-B.1.1.529-N_CXCL6,SARS-CoV-2-B.1.1.529-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL6_relaxed_model_5_multimer_v3_pred_4.pdb,-10.6,1.70E-08,-4.71747
SARS-CoV-2-B.1.1.529-N_CXCL5,SARS-CoV-2-B.1.1.529-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL5_relaxed_model_3_multimer_v3_pred_0.pdb,-9.1,2.00E-07,-12.243
SARS-CoV-2-BQ.1-N_XCL1,SARS-CoV-2-BQ.1-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_XCL1_relaxed_model_3_multimer_v3_pred_1.pdb,-12.2,1.10E-09,3.68218
SARS-CoV-2-BA.2-N_IFNbeta,SARS-CoV-2-BA.2-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IFNbeta_relaxed_model_5_multimer_v3_pred_2.pdb,-13.6,1.10E-10,-13.7388
MERS-CoV-N_IL-23,MERS-CoV-N,IL-23,./best_AF2_and_GDock/MERS-CoV-N_IL-23_relaxed_model_3_multimer_v3_pred_0.pdb,-16.4,1.00E-12,-1.12871
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-1alpha,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_3.pdb,-11.7,2.80E-09,-2.54616
SARS-CoV-2-P.1-N_CCL14,SARS-CoV-2-P.1-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL14_relaxed_model_3_multimer_v3_pred_0.pdb,-10.6,1.60E-08,9.86705
SARS-CoV-2-P.1-N_CXCL6,SARS-CoV-2-P.1-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL6_relaxed_model_3_multimer_v3_pred_1.pdb,-9.6,9.70E-08,-12.7077
SARS-CoV-2-B.1.351-N_IL-35,SARS-CoV-2-B.1.351-N,IL-35,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-35_relaxed_model_1_multimer_v3_pred_4.pdb,-19,1.20E-14,-35.4187
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL12alpha,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL12alpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL12alpha_relaxed_model_3_multimer_v3_pred_2.pdb,-8.4,6.60E-07,5.86844
SARS-CoV-2-BA.1.1-N_CCL18,SARS-CoV-2-BA.1.1-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL18_relaxed_model_3_multimer_v3_pred_2.pdb,-11.1,6.70E-09,-1.70315
OC43-N_IL-23,OC43-N,IL-23,./best_AF2_and_GDock/OC43-N_IL-23_relaxed_model_1_multimer_v3_pred_2.pdb,-20.9,4.60E-16,-5.09683
SARS-CoV-2-B.1.1.7-N_TNFalpha,SARS-CoV-2-B.1.1.7-N,TNFalpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_TNFalpha_relaxed_model_3_multimer_v3_pred_1.pdb,-14.3,3.40E-11,-15.9063
SARS-CoV-2-B.1.351-N_CCL27,SARS-CoV-2-B.1.351-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL27_relaxed_model_3_multimer_v3_pred_1.pdb,-8.9,3.20E-07,23.315
MERS-CoV-N_IFNA2,MERS-CoV-N,IFNA2,./best_AF2_and_GDock/MERS-CoV-N_IFNA2_relaxed_model_2_multimer_v3_pred_1.pdb,-15.6,3.90E-12,-14.8889
SARS-CoV-N_IL-1alpha,SARS-CoV-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_4.pdb,-10.4,2.50E-08,-6.79648
SARS-CoV-N_IL-6Ralpha,SARS-CoV-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-N_IL-6Ralpha_relaxed_model_1_multimer_v3_pred_4.pdb,-12.6,5.60E-10,-12.3767
SARS-CoV-2-B.1.1.529-N_CCL16,SARS-CoV-2-B.1.1.529-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL16_relaxed_model_3_multimer_v3_pred_0.pdb,-15.4,5.20E-12,0.903732
SARS-CoV-2-WA1-N_CXCL1,SARS-CoV-2-WA1-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL1_relaxed_model_3_multimer_v3_pred_0.pdb,-9.1,2.20E-07,-8.54926
OC43-N_CXCL16,OC43-N,CXCL16,./best_AF2_and_GDock/OC43-N_CXCL16_relaxed_model_2_multimer_v3_pred_4.pdb,-15,1.00E-11,2.80279
SARS-CoV-2-BQ.1-N_CXCL7,SARS-CoV-2-BQ.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL7_relaxed_model_3_multimer_v3_pred_3.pdb,-10.5,2.10E-08,-3.85721
SARS-CoV-2-BA.2-N_CXCL10,SARS-CoV-2-BA.2-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL10_relaxed_model_3_multimer_v3_pred_2.pdb,-8.2,1.00E-06,-3.47731
SARS-CoV-N_IL-1beta,SARS-CoV-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-N_IL-1beta_relaxed_model_3_multimer_v3_pred_2.pdb,-9.9,5.10E-08,1.76739
SARS-CoV-N_CXCL13,SARS-CoV-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-N_CXCL13_relaxed_model_3_multimer_v3_pred_1.pdb,-10.5,2.10E-08,-6.45492
SARS-CoV-2-BA.4-N_CCL13,SARS-CoV-2-BA.4-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-10,5.00E-08,1.41509
SARS-CoV-N_IFNlambda1,SARS-CoV-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_4.pdb,-10.5,1.90E-08,-11.5178
SARS-CoV-2-XBB-N_CXCL6,SARS-CoV-2-XBB-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL6_relaxed_model_3_multimer_v3_pred_4.pdb,-8.4,7.10E-07,-13.9776
SARS-CoV-N_IL-18,SARS-CoV-N,IL-18,./best_AF2_and_GDock/SARS-CoV-N_IL-18_relaxed_model_3_multimer_v3_pred_2.pdb,-15.8,2.40E-12,8.22459
SARS-CoV-N_CCL7,SARS-CoV-N,CCL7,./best_AF2_and_GDock/SARS-CoV-N_CCL7_relaxed_model_3_multimer_v3_pred_0.pdb,-8.2,9.30E-07,2.48662
MERS-CoV-N_CX3CL1,MERS-CoV-N,CX3CL1,./best_AF2_and_GDock/MERS-CoV-N_CX3CL1_relaxed_model_5_multimer_v3_pred_0.pdb,-17.8,9.20E-14,-2.40778
SARS-CoV-2-P.1-N_IL-18BP,SARS-CoV-2-P.1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-18BP_relaxed_model_3_multimer_v3_pred_2.pdb,-12.2,1.00E-09,-10.7075
SARS-CoV-2-BA.1.1-N_CCL28,SARS-CoV-2-BA.1.1-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL28_relaxed_model_3_multimer_v3_pred_2.pdb,-12.1,1.40E-09,-2.77975
SARS-CoV-2-BA.4-N_IL-10,SARS-CoV-2-BA.4-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-10_relaxed_model_2_multimer_v3_pred_1.pdb,-8.8,3.50E-07,-0.288207
OC43-N_CCL19,OC43-N,CCL19,./best_AF2_and_GDock/OC43-N_CCL19_relaxed_model_3_multimer_v3_pred_1.pdb,-14,5.20E-11,0.319237
SARS-CoV-2-P.1-N_CCL4,SARS-CoV-2-P.1-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-12.8,3.90E-10,-19.3734
SARS-CoV-2-P.1-N_CCL7,SARS-CoV-2-P.1-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL7_relaxed_model_3_multimer_v3_pred_4.pdb,-8.8,3.60E-07,-4.25786
SARS-CoV-2-BA.4-N_CXCL3,SARS-CoV-2-BA.4-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL3_relaxed_model_4_multimer_v3_pred_1.pdb,-15.3,6.10E-12,-3.88547
OC43-N_CCL27,OC43-N,CCL27,./best_AF2_and_GDock/OC43-N_CCL27_relaxed_model_2_multimer_v3_pred_4.pdb,-15.1,7.80E-12,-24.1975
SARS-CoV-2-BQ.1-N_TNFalpha,SARS-CoV-2-BQ.1-N,TNFalpha,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_TNFalpha_relaxed_model_5_multimer_v3_pred_2.pdb,-16.5,8.00E-13,-8.76126
SARS-CoV-2-WA1-N_IL-13,SARS-CoV-2-WA1-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-13_relaxed_model_3_multimer_v3_pred_2.pdb,-14.2,3.80E-11,2.16738
SARS-CoV-2-B.1.1-N_IL-35,SARS-CoV-2-B.1.1-N,IL-35,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-35_relaxed_model_1_multimer_v3_pred_2.pdb,-20.9,4.90E-16,-36.0714
SARS-CoV-2-WA1-N_CCL5,SARS-CoV-2-WA1-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-11,7.90E-09,0.0717298
SARS-CoV-2-B.1.351-N_CCL28,SARS-CoV-2-B.1.351-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL28_relaxed_model_3_multimer_v3_pred_0.pdb,-13.2,2.20E-10,-11.446
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL18,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL18_relaxed_model_3_multimer_v3_pred_0.pdb,-12.4,7.70E-10,-1.50119
RaTG13-N_IFNomega,RaTG13-N,IFNomega,./best_AF2_and_GDock/RaTG13-N_IFNomega_relaxed_model_1_multimer_v3_pred_4.pdb,-15.7,3.10E-12,-3.91437
BANAL-20-52-N_IL-1beta,BANAL-20-52-N,IL-1beta,./best_AF2_and_GDock/BANAL-20-52-N_IL-1beta_relaxed_model_3_multimer_v3_pred_3.pdb,-9,2.40E-07,-1.81553
BANAL-20-52-N_TNFbeta,BANAL-20-52-N,TNFbeta,./best_AF2_and_GDock/BANAL-20-52-N_TNFbeta_relaxed_model_3_multimer_v3_pred_2.pdb,-13,2.90E-10,-6.05794
BANAL-20-52-N_CCL27,BANAL-20-52-N,CCL27,./best_AF2_and_GDock/BANAL-20-52-N_CCL27_relaxed_model_2_multimer_v3_pred_1.pdb,-14.9,1.30E-11,3.44732
SARS-CoV-N_CCL17,SARS-CoV-N,CCL17,./best_AF2_and_GDock/SARS-CoV-N_CCL17_relaxed_model_4_multimer_v3_pred_0.pdb,-11.4,4.40E-09,-3.3964
OC43-N_CXCL9,OC43-N,CXCL9,./best_AF2_and_GDock/OC43-N_CXCL9_relaxed_model_4_multimer_v3_pred_4.pdb,-12.2,1.10E-09,-6.11455
SARS-CoV-2-P.1-N_CXCL9,SARS-CoV-2-P.1-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL9_relaxed_model_3_multimer_v3_pred_1.pdb,-9.3,1.60E-07,-1.53955
SARS-CoV-2-B.1.1.529-N_CXCL2,SARS-CoV-2-B.1.1.529-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL2_relaxed_model_1_multimer_v3_pred_4.pdb,-12.4,8.50E-10,-10.811
SARS-CoV-2-BA.2-N_CXCL8,SARS-CoV-2-BA.2-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL8_relaxed_model_2_multimer_v3_pred_1.pdb,-12.4,7.40E-10,-13.5921
SARS-CoV-2-B.1.1-N_IFNA2,SARS-CoV-2-B.1.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IFNA2_relaxed_model_1_multimer_v3_pred_3.pdb,-18,5.90E-14,-24.4301
SARS-CoV-2-BA.1.1-N_CCL16,SARS-CoV-2-BA.1.1-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL16_relaxed_model_3_multimer_v3_pred_4.pdb,-14.9,1.10E-11,-4.18236
MERS-CoV-N_CXCL2,MERS-CoV-N,CXCL2,./best_AF2_and_GDock/MERS-CoV-N_CXCL2_relaxed_model_3_multimer_v3_pred_4.pdb,-14.4,3.00E-11,-4.59964
BANAL-20-52-N_CCL16,BANAL-20-52-N,CCL16,./best_AF2_and_GDock/BANAL-20-52-N_CCL16_relaxed_model_1_multimer_v3_pred_0.pdb,-11,8.30E-09,-6.41273
SARS-CoV-2-BA.1.1-N_CXCL13,SARS-CoV-2-BA.1.1-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL13_relaxed_model_4_multimer_v3_pred_4.pdb,-11.4,4.60E-09,-12.1846
SARS-CoV-2-BA.4-N_CXCL2,SARS-CoV-2-BA.4-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-10.2,3.40E-08,-13.8864
SARS-CoV-2-B.1.1-N_IL-18,SARS-CoV-2-B.1.1-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-18_relaxed_model_3_multimer_v3_pred_3.pdb,-14.6,2.10E-11,-0.37583
SARS-CoV-2-BA.4-N_CCL7,SARS-CoV-2-BA.4-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL7_relaxed_model_3_multimer_v3_pred_2.pdb,-12.3,9.70E-10,-0.355032
SARS-CoV-2-BQ.1-N_IFNA2,SARS-CoV-2-BQ.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IFNA2_relaxed_model_1_multimer_v3_pred_3.pdb,-20.3,1.30E-15,-21.2454
SARS-CoV-2-B.1.1.529-N_IL-13,SARS-CoV-2-B.1.1.529-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-13_relaxed_model_3_multimer_v3_pred_2.pdb,-13,2.90E-10,-10.104
SARS-CoV-2-BA.1.1-N_CCL11,SARS-CoV-2-BA.1.1-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL11_relaxed_model_3_multimer_v3_pred_2.pdb,-12.1,1.20E-09,-5.46228
SARS-CoV-2-B.1.1.529-N_CCL27,SARS-CoV-2-B.1.1.529-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL27_relaxed_model_5_multimer_v3_pred_0.pdb,-18.9,1.30E-14,-15.7056
SARS-CoV-N_CXCL10,SARS-CoV-N,CXCL10,./best_AF2_and_GDock/SARS-CoV-N_CXCL10_relaxed_model_3_multimer_v3_pred_4.pdb,-9.2,1.90E-07,-9.91518
OC43-N_CCL7,OC43-N,CCL7,./best_AF2_and_GDock/OC43-N_CCL7_relaxed_model_5_multimer_v3_pred_3.pdb,-10.5,2.10E-08,12.9597
SARS-CoV-2-BA.4-N_CCL21,SARS-CoV-2-BA.4-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL21_relaxed_model_4_multimer_v3_pred_1.pdb,-16.8,4.80E-13,22.1968
MERS-CoV-N_CCL2,MERS-CoV-N,CCL2,./best_AF2_and_GDock/MERS-CoV-N_CCL2_relaxed_model_3_multimer_v3_pred_3.pdb,-12.8,4.00E-10,0.140854
SARS-CoV-2-BA.2-N_CXCL12beta,SARS-CoV-2-BA.2-N,CXCL12beta,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL12beta_relaxed_model_3_multimer_v3_pred_2.pdb,-9.4,1.30E-07,-3.90699
SARS-CoV-2-B.1.351-N_CCL14,SARS-CoV-2-B.1.351-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL14_relaxed_model_3_multimer_v3_pred_2.pdb,-11.4,4.20E-09,-1.38858
SARS-CoV-2-WA1-N_CCL11,SARS-CoV-2-WA1-N,CCL11,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL11_relaxed_model_2_multimer_v3_pred_3.pdb,-11.6,3.20E-09,-3.32842
SARS-CoV-2-WA1-N_IL-18BP,SARS-CoV-2-WA1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-18BP_relaxed_model_5_multimer_v3_pred_3.pdb,-11,8.50E-09,-8.82552
SARS-CoV-2-P.1-N_CXCL13,SARS-CoV-2-P.1-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL13_relaxed_model_3_multimer_v3_pred_2.pdb,-7.5,3.10E-06,-5.11149
RaTG13-N_CX3CL1,RaTG13-N,CX3CL1,./best_AF2_and_GDock/RaTG13-N_CX3CL1_relaxed_model_4_multimer_v3_pred_2.pdb,-13.2,2.00E-10,-7.29285
SARS-CoV-2-BA.4-N_CCL26,SARS-CoV-2-BA.4-N,CCL26,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL26_relaxed_model_5_multimer_v3_pred_0.pdb,-9.9,5.50E-08,-0.033632
SARS-CoV-2-B.1.1.529-N_CXCL3,SARS-CoV-2-B.1.1.529-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL3_relaxed_model_4_multimer_v3_pred_1.pdb,-14.8,1.40E-11,-7.07426
BANAL-20-52-N_IFNomega,BANAL-20-52-N,IFNomega,./best_AF2_and_GDock/BANAL-20-52-N_IFNomega_relaxed_model_1_multimer_v3_pred_0.pdb,-17.4,1.70E-13,-10.46
SARS-CoV-2-BQ.1-N_IFNlambda1,SARS-CoV-2-BQ.1-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_2.pdb,-15,9.70E-12,-15.3339
SARS-CoV-2-B.1.1.7-N_CXCL4,SARS-CoV-2-B.1.1.7-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL4_relaxed_model_3_multimer_v3_pred_4.pdb,-9.9,5.30E-08,-2.29866
RaTG13-N_CXCL10,RaTG13-N,CXCL10,./best_AF2_and_GDock/RaTG13-N_CXCL10_relaxed_model_4_multimer_v3_pred_4.pdb,-8.6,4.60E-07,-2.32382
SARS-CoV-2-XBB-N_IFNgamma,SARS-CoV-2-XBB-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IFNgamma_relaxed_model_5_multimer_v3_pred_3.pdb,-8.9,2.90E-07,-1.62376
MERS-CoV-N_CCL16,MERS-CoV-N,CCL16,./best_AF2_and_GDock/MERS-CoV-N_CCL16_relaxed_model_3_multimer_v3_pred_2.pdb,-14.3,3.40E-11,-4.08916
SARS-CoV-2-B.1.351-N_IFNlambda1,SARS-CoV-2-B.1.351-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_4.pdb,-11.9,1.90E-09,-11.6481
SARS-CoV-2-B.1.351-N_IL-23,SARS-CoV-2-B.1.351-N,IL-23,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-23_relaxed_model_3_multimer_v3_pred_1.pdb,-24.1,2.00E-18,-8.28E-13
BANAL-20-52-N_CXCL3,BANAL-20-52-N,CXCL3,./best_AF2_and_GDock/BANAL-20-52-N_CXCL3_relaxed_model_2_multimer_v3_pred_0.pdb,-10.4,2.30E-08,-13.6916
SARS-CoV-2-BQ.1-N_CCL21,SARS-CoV-2-BQ.1-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL21_relaxed_model_2_multimer_v3_pred_0.pdb,-17.1,2.80E-13,10.8951
MERS-CoV-N_IL-18,MERS-CoV-N,IL-18,./best_AF2_and_GDock/MERS-CoV-N_IL-18_relaxed_model_4_multimer_v3_pred_2.pdb,-19.2,8.30E-15,-9.28512
SARS-CoV-2-B.1.1-N_IFNbeta,SARS-CoV-2-B.1.1-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IFNbeta_relaxed_model_5_multimer_v3_pred_4.pdb,-11.9,1.90E-09,-15.4851
SARS-CoV-2-B.1.1-N_CXCL3,SARS-CoV-2-B.1.1-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL3_relaxed_model_3_multimer_v3_pred_2.pdb,-9.5,1.00E-07,3.58413
SARS-CoV-2-BA.1.1-N_CCL26,SARS-CoV-2-BA.1.1-N,CCL26,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL26_relaxed_model_2_multimer_v3_pred_1.pdb,-9.6,9.70E-08,26.1134
OC43-N_CCL20,OC43-N,CCL20,./best_AF2_and_GDock/OC43-N_CCL20_relaxed_model_1_multimer_v3_pred_2.pdb,-12.8,3.90E-10,-5.69805
SARS-CoV-2-B.1.1.7-N_IL-6Ralpha,SARS-CoV-2-B.1.1.7-N,IL-6Ralpha,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IL-6Ralpha_relaxed_model_4_multimer_v3_pred_4.pdb,-15.6,3.40E-12,-10.0378
SARS-CoV-2-XBB-N_TNFbeta,SARS-CoV-2-XBB-N,TNFbeta,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_TNFbeta_relaxed_model_3_multimer_v3_pred_0.pdb,-12.8,4.00E-10,-2.94761
MERS-CoV-N_IL-1alpha,MERS-CoV-N,IL-1alpha,./best_AF2_and_GDock/MERS-CoV-N_IL-1alpha_relaxed_model_1_multimer_v3_pred_4.pdb,-13.5,1.20E-10,-17.0118
SARS-CoV-2-B.1.351-N_CCL16,SARS-CoV-2-B.1.351-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL16_relaxed_model_4_multimer_v3_pred_0.pdb,-13.5,1.20E-10,17.3561
SARS-CoV-2-B.1.351-N_CXCL7,SARS-CoV-2-B.1.351-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL7_relaxed_model_3_multimer_v3_pred_1.pdb,-12.4,7.40E-10,-2.34143
SARS-CoV-2-WA1-N_CCL4,SARS-CoV-2-WA1-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL4_relaxed_model_4_multimer_v3_pred_0.pdb,-13.3,1.90E-10,-17.8981
OC43-N_CCL3,OC43-N,CCL3,./best_AF2_and_GDock/OC43-N_CCL3_relaxed_model_3_multimer_v3_pred_1.pdb,-12,1.60E-09,-11.3685
SARS-CoV-2-B.1.1-N_CCL3,SARS-CoV-2-B.1.1-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL3_relaxed_model_4_multimer_v3_pred_3.pdb,-12.8,3.90E-10,-14.0566
